#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Token|
#T_SP=webanno.custom.ArgumentComponent|value


#Text=Ich denke, dass Windkraftanlagen gefördert werden sollten.
1-1	0-3	Ich	claim	
1-2	4-10	denke	claim	
1-3	11-12	,	claim	
1-4	13-17	dass	claim	
1-5	18-33	Windkraftanlagen	claim	
1-6	34-42	gefördert	claim	
1-7	43-49	werden	claim	
1-8	50-58	sollten	claim	
1-9	58-59	.	claim	

#Text=Mit einem Wirkungsgrad von 45% sind sie effizienter als Solaranlagen.
2-1	60-63	Mit	data	
2-2	64-69	einem	data	
2-3	70-82	Wirkungsgrad	data	
2-4	83-86	von	data	
2-5	87-90	45%	data	
2-6	91-95	sind	data	
2-7	96-99	sie	data	
2-8	100-111	effizienter	data	
2-9	112-115	als	data	
2-10	116-128	Solaranlagen	data	
2-11	128-129	.	data	

#Text=Ein höherer Wirkungsgrad bedeutet mehr Stromproduktion pro Fläche.
3-1	130-133	Ein	warrant	
3-2	134-140	höherer	warrant	
3-3	141-153	Wirkungsgrad	warrant	
3-4	154-162	bedeutet	warrant	
3-5	163-167	mehr	warrant	
3-6	168-183	Stromproduktion	warrant	
3-7	184-187	pro	warrant	
3-8	188-194	Fläche	warrant	
3-9	194-195	.	warrant	

#Text=Obwohl Windkraftanlagen Lärm erzeugen, überwiegen die Vorteile.
4-1	196-203	Obwohl	rebuttal	
4-2	204-219	Windkraftanlagen	rebuttal	
4-3	220-224	Lärm	rebuttal	
4-4	225-233	erzeugen	rebuttal	
4-5	233-234	,	rebuttal	
4-6	235-244	überwiegen	rebuttal	
4-7	245-248	die	rebuttal	
4-8	249-257	Vorteile	rebuttal	
4-9	257-258	.	rebuttal	

#Text=Daher sollte die Politik Windenergie stärker unterstützen.
5-1	259-264	Daher	claim	
5-2	265-271	sollte	claim	
5-3	272-275	die	claim	
5-4	276-282	Politik	claim	
5-5	283-293	Windenergie	claim	
5-6	294-300	stärker	claim	
5-7	301-313	unterstützen	claim	
5-8	313-314	.	claim	

#Text=Der Preis pro Kilowattstunde ist bei Windkraft am niedrigsten.
6-1	315-318	Der	data	
6-2	319-324	Preis	data	
6-3	325-328	pro	data	
6-4	329-343	Kilowattstunde	data	
6-5	344-347	ist	data	
6-6	348-351	bei	data	
6-7	352-361	Windkraft	data	
6-8	362-364	am	data	
6-9	365-375	niedrigsten	data	
6-10	375-376	.	data	

#Text=Günstigere Energie entlastet Haushalte und fördert Wirtschaftswachstum.
7-1	377-386	Günstigere	warrant	
7-2	387-393	Energie	warrant	
7-3	394-402	entlastet	warrant	
7-4	403-412	Haushalte	warrant	
7-5	413-416	und	warrant	
7-6	417-424	fördert	warrant	
7-7	425-443	Wirtschaftswachstum	warrant	
7-8	443-444	.	warrant	

#Text=Es gibt jedoch keine Garantie für konstante Windverhältnisse.
8-1	445-447	Es	rebuttal	
8-2	448-452	gibt	rebuttal	
8-3	453-459	jedoch	rebuttal	
8-4	460-465	keine	rebuttal	
8-5	466-474	Garantie	rebuttal	
8-6	475-478	für	rebuttal	
8-7	479-488	konstante	rebuttal	
8-8	489-505	Windverhältnisse	rebuttal	
8-9	505-506	.	rebuttal	

#Text=Dieser Text enthält keinen argumentativen Inhalt.
9-1	507-512	Dieser	O	
9-2	513-517	Text	O	
9-3	518-526	enthält	O	
9-4	527-533	keinen	O	
9-5	534-549	argumentativen	O	
9-6	550-556	Inhalt	O	
9-7	556-557	.	O	
